,School_name,SearchVal,lat,lng
1,Tao Nan School,TAO NAN SCHOOL,1.305285287,103.9115532
2,Nan Chiau Primary School,NAN CHIAU PRIMARY SCHOOL,1.392211499,103.8911809
3,Holy Innocents' Primary School,HOLY INNOCENTS' PRIMARY SCHOOL,1.366938309,103.8941149
4,Fairfield Methodist School (Primary),FAIRFIELD METHODIST SCHOOL (PRIMARY),1.300540825,103.7854383
6,Ai Tong School,AI TONG SCHOOL,1.360583434,103.8330203
7,Nanyang Primary School,NANYANG PRIMARY SCHOOL,1.320847499,103.8077502
9,Kong Hwa School,KONG HWA SCHOOL,1.31099674,103.888352
10,Anglo-Chinese School (Primary),ANGLO-CHINESE SCHOOL (PRIMARY),1.318370545,103.8356097
11,CHIJ Primary (Toa Payoh),CHIJ PRIMARY (TOA PAYOH),1.332752647,103.8418473
14,St. Joseph's Institution Junior,SAINT JOSEPH'S INSTITUTION JUNIOR,1.31772861,103.8456119
15,Methodist Girls' School (Primary),PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.349472763,103.8849713
17,St. Hilda's Primary School,SAINT HILDA'S PRIMARY SCHOOL,1.34938565,103.9370071
18,Nan Hua Primary School,NAN HUA PRIMARY SCHOOL,1.3192016,103.7610951
19,South View Primary School,SOUTH VIEW PRIMARY SCHOOL,1.381666644,103.7462758
21,Anglo-Chinese School (Junior),ANGLO-CHINESE SCHOOL (JUNIOR),1.309350413,103.8409503
22,Pei Hwa Presbyterian Primary School,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338056346,103.7761064
24,Chongfu School,CHONGFU SCHOOL,1.438395629,103.8393092
26,Maha Bodhi School,MAHA BODHI SCHOOL,1.328470866,103.9012987
28,Rulang Primary School,RULANG PRIMARY SCHOOL,1.346738689,103.718458
30,Pei Chun Public School,PEI CHUN PUBLIC SCHOOL,1.337373587,103.8555856
31,Henry Park Primary School,HENRY PARK PRIMARY SCHOOL,1.316676462,103.7842962
32,Rosyth School,ROSYTH SCHOOL,1.372890675,103.8750015
33,Bukit Panjang Primary School,BUKIT PANJANG PRIMARY SCHOOL,1.373621793,103.7693749
36,Kuo Chuan Presbyterian Primary School,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349782238,103.8545293
37,Poi Ching School,POI CHING SCHOOL,1.357651223,103.9352465
39,Red Swastika School,RED SWASTIKA SCHOOL,1.333242978,103.9343323
41,Admiralty Primary School,ADMIRALTY PRIMARY SCHOOL,1.44263479,103.8000401
42,Northland Primary School,NORTHLAND PRIMARY SCHOOL,1.420969899,103.8409284
43,Pasir Ris Primary School,PASIR RIS PRIMARY SCHOOL,1.372418702,103.9628072
44,Singapore Chinese Girls' Primary School,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),1.320807252,103.8277447
45,Hong Wen School,HONG WEN SCHOOL,1.32176,103.8576285
46,St. Gabriel's Primary School,SAINT GABRIEL'S PRIMARY SCHOOL,1.349471927,103.862561
47,Xinmin Primary School,XINMIN PRIMARY SCHOOL,1.371395489,103.8830808
48,Mee Toh School,MEE TOH SCHOOL,1.394618454,103.9085895
49,Radin Mas Primary School,RADIN MAS PRIMARY SCHOOL,1.274958236,103.8241883
51,CHIJ Our Lady of the Nativity,CHIJ OUR LADY OF THE NATIVITY,1.373302971,103.8975757
52,Canossa Catholic Primary School,CANOSSA CATHOLIC PRIMARY SCHOOL,1.326644245,103.882228
54,Gongshang Primary School,GONGSHANG PRIMARY SCHOOL,1.357237214,103.9491153
55,Horizon Primary School,HORIZON PRIMARY SCHOOL,1.399550034,103.9134049
56,St. Andrew's Junior School,SAINT ANDREW'S JUNIOR SCHOOL,1.331402553,103.8651171
57,Paya Lebar Methodist Girls' School (Primary),PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.349472763,103.8849713
58,Sengkang Green Primary School,SENGKANG GREEN PRIMARY SCHOOL,1.392846067,103.8752177
59,Yangzheng Primary School,YANGZHENG PRIMARY SCHOOL,1.348645758,103.8685955
60,Raffles Girls' Primary School,RAFFLES GIRLS' PRIMARY SCHOOL,1.32940426,103.8064429
62,Frontier Primary School,FRONTIER PRIMARY SCHOOL,1.336412987,103.6997017
64,River Valley Primary School,RIVER VALLEY PRIMARY SCHOOL,1.294223285,103.8358152
65,Anderson Primary School,ANDERSON PRIMARY SCHOOL,1.384264294,103.8413921
66,Princess Elizabeth Primary School,PRINCESS ELIZABETH PRIMARY SCHOOL,1.349203513,103.7410196
68,Shuqun Primary School,SHUQUN PRIMARY SCHOOL,1.347653114,103.7215237
69,Temasek Primary School,TEMASEK PRIMARY SCHOOL,1.317706776,103.9455907
71,St. Anthony's Primary School,SAINT ANTHONY'S PRIMARY SCHOOL,1.364119485,103.7492519
72,Chua Chu Kang Primary School,CHUA CHU KANG PRIMARY SCHOOL,1.377758901,103.7418329
73,Hougang Primary School,HOUGANG PRIMARY SCHOOL,1.377382452,103.8808053
74,Yu Neng Primary School,YU NENG PRIMARY SCHOOL,1.333889303,103.9321449
75,CHIJ (Katong) Primary,CHIJ (KATONG) PRIMARY,1.306485353,103.9111056
76,Rivervale Primary School,RIVERVALE PRIMARY SCHOOL,1.393409978,103.9045595
77,Haig Girls' School,HAIG GIRLS' SCHOOL,1.311943443,103.9029026
