,units,batch_size,learning_rate,minimum_mae_error
0,7,16,0.008,525.0858154296875
1,7,16,0.01,523.8079223632812
2,7,32,0.008,540.8583984375
3,7,32,0.01,526.1573486328125
4,7,64,0.008,529.9772338867188
5,7,64,0.01,528.2924194335938
6,8,16,0.008,542.02783203125
7,8,16,0.01,523.8145141601562
8,8,32,0.008,532.9639892578125
9,8,32,0.01,540.3267211914062
10,8,64,0.008,524.6297607421875
11,8,64,0.01,535.9765625
12,9,16,0.008,545.2109375
13,9,16,0.01,523.2265014648438
14,9,32,0.008,518.8991088867188
15,9,32,0.01,525.9070434570312
16,9,64,0.008,533.1322631835938
17,9,64,0.01,522.3140869140625
